prolificId,taskId,visType,responseType,value
55b66e89fdf99b26b999cbba,S-task9,adjMatrix,difficulty,6
55b66e89fdf99b26b999cbba,S-task9,adjMatrix,confidence,4
55b66e89fdf99b26b999cbba,S-task9,adjMatrix,minutesToComplete,2.2666666666666666
55b66e89fdf99b26b999cbba,S-task9A,adjMatrix,nodeAnswer,Anna
55b66e89fdf99b26b999cbba,S-task9A,adjMatrix,accuracy,1
55b66e89fdf99b26b999cbba,S-task9A,adjMatrix,correct,1
55b66e89fdf99b26b999cbba,S-task9A,adjMatrix,difficulty,2
55b66e89fdf99b26b999cbba,S-task9A,adjMatrix,confidence,5
55b66e89fdf99b26b999cbba,S-task9A,adjMatrix,minutesToComplete,1.0333333333333334
55b66e89fdf99b26b999cbba,S-taskExplore,adjMatrix,nodeAnswer,
55b66e89fdf99b26b999cbba,S-taskExplore,adjMatrix,valueAnswer,Jeffrey has the most followers but few tweets.
More than half are from EU.
People with advanced account age tend to have more tweets.
55b66e89fdf99b26b999cbba,S-taskExplore,adjMatrix,accuracy,1
55b66e89fdf99b26b999cbba,S-taskExplore,adjMatrix,correct,1
55b66e89fdf99b26b999cbba,S-taskExplore,adjMatrix,difficulty,3
55b66e89fdf99b26b999cbba,S-taskExplore,adjMatrix,confidence,6
55b66e89fdf99b26b999cbba,S-taskExplore,adjMatrix,minutesToComplete,2.35
5a3adffa05f005000104d2aa,S-task1,nodeLink,nodeAnswer,T.J.
5a3adffa05f005000104d2aa,S-task1,nodeLink,accuracy,1
5a3adffa05f005000104d2aa,S-task1,nodeLink,correct,1
5a3adffa05f005000104d2aa,S-task1,nodeLink,difficulty,2
5a3adffa05f005000104d2aa,S-task1,nodeLink,confidence,5
5a3adffa05f005000104d2aa,S-task1,nodeLink,minutesToComplete,0.6333333333333333
5a3adffa05f005000104d2aa,S-task11,nodeLink,nodeAnswer,John
5a3adffa05f005000104d2aa,S-task11,nodeLink,nodeAnswer,EVis19
5a3adffa05f005000104d2aa,S-task11,nodeLink,nodeAnswer,Alex
5a3adffa05f005000104d2aa,S-task11,nodeLink,nodeAnswer,Marc
5a3adffa05f005000104d2aa,S-task11,nodeLink,valueAnswer,750
5a3adffa05f005000104d2aa,S-task11,nodeLink,accuracy,0
5a3adffa05f005000104d2aa,S-task11,nodeLink,correct,0
5a3adffa05f005000104d2aa,S-task11,nodeLink,difficulty,4
5a3adffa05f005000104d2aa,S-task11,nodeLink,confidence,3
5a3adffa05f005000104d2aa,S-task11,nodeLink,minutesToComplete,1.1666666666666667
5a3adffa05f005000104d2aa,S-task12,nodeLink,nodeAnswer,EVis19
5a3adffa05f005000104d2aa,S-task12,nodeLink,nodeAnswer,Marc
5a3adffa05f005000104d2aa,S-task12,nodeLink,accuracy,0
5a3adffa05f005000104d2aa,S-task12,nodeLink,correct,0
5a3adffa05f005000104d2aa,S-task12,nodeLink,difficulty,3
5a3adffa05f005000104d2aa,S-task12,nodeLink,confidence,4
5a3adffa05f005000104d2aa,S-task12,nodeLink,minutesToComplete,1.4333333333333333
5a3adffa05f005000104d2aa,S-task12A,nodeLink,nodeAnswer,Rob
5a3adffa05f005000104d2aa,S-task12A,nodeLink,nodeAnswer,Roeland
5a3adffa05f005000104d2aa,S-task12A,nodeLink,nodeAnswer,Micah
5a3adffa05f005000104d2aa,S-task12A,nodeLink,accuracy,0.5
5a3adffa05f005000104d2aa,S-task12A,nodeLink,correct,0
5a3adffa05f005000104d2aa,S-task12A,nodeLink,difficulty,2
5a3adffa05f005000104d2aa,S-task12A,nodeLink,confidence,5
5a3adffa05f005000104d2aa,S-task12A,nodeLink,minutesToComplete,0.5666666666666667
5a3adffa05f005000104d2aa,S-task13,nodeLink,nodeAnswer,Robert
5a3adffa05f005000104d2aa,S-task13,nodeLink,accuracy,1
5a3adffa05f005000104d2aa,S-task13,nodeLink,correct,1
5a3adffa05f005000104d2aa,S-task13,nodeLink,difficulty,2
5a3adffa05f005000104d2aa,S-task13,nodeLink,confidence,6
5a3adffa05f005000104d2aa,S-task13,nodeLink,minutesToComplete,1.0166666666666666
5a3adffa05f005000104d2aa,S-task1A,nodeLink,nodeAnswer,EVision
5a3adffa05f005000104d2aa,S-task1A,nodeLink,accuracy,0.8
5a3adffa05f005000104d2aa,S-task1A,nodeLink,correct,0
5a3adffa05f005000104d2aa,S-task1A,nodeLink,difficulty,3
5a3adffa05f005000104d2aa,S-task1A,nodeLink,confidence,3
5a3adffa05f005000104d2aa,S-task1A,nodeLink,minutesToComplete,1.85
5a3adffa05f005000104d2aa,S-task3,nodeLink,nodeAnswer,Alex
5a3adffa05f005000104d2aa,S-task3,nodeLink,accuracy,1
5a3adffa05f005000104d2aa,S-task3,nodeLink,correct,1
5a3adffa05f005000104d2aa,S-task3,nodeLink,difficulty,3
5a3adffa05f005000104d2aa,S-task3,nodeLink,confidence,5
5a3adffa05f005000104d2aa,S-task3,nodeLink,minutesToComplete,1.4
5a3adffa05f005000104d2aa,S-task4,nodeLink,nodeAnswer,AA
5a3adffa05f005000104d2aa,S-task4,nodeLink,nodeAnswer,Noeska
5a3adffa05f005000104d2aa,S-task4,nodeLink,nodeAnswer,Till
5a3adffa05f005000104d2aa,S-task4,nodeLink,nodeAnswer,Jo
5a3adffa05f005000104d2aa,S-task4,nodeLink,accuracy,1
5a3adffa05f005000104d2aa,S-task4,nodeLink,correct,1
5a3adffa05f005000104d2aa,S-task4,nodeLink,difficulty,1
5a3adffa05f005000104d2aa,S-task4,nodeLink,confidence,6
5a3adffa05f005000104d2aa,S-task4,nodeLink,minutesToComplete,0.5
5a3adffa05f005000104d2aa,S-task4A,nodeLink,nodeAnswer,Robert
5a3adffa05f005000104d2aa,S-task4A,nodeLink,accuracy,1
5a3adffa05f005000104d2aa,S-task4A,nodeLink,correct,1
5a3adffa05f005000104d2aa,S-task4A,nodeLink,difficulty,2
5a3adffa05f005000104d2aa,S-task4A,nodeLink,confidence,5
5a3adffa05f005000104d2aa,S-task4A,nodeLink,minutesToComplete,0.6
5a3adffa05f005000104d2aa,S-task5,nodeLink,nodeAnswer,Robert
5a3adffa05f005000104d2aa,S-task5,nodeLink,accuracy,1
5a3adffa05f005000104d2aa,S-task5,nodeLink,correct,1
5a3adffa05f005000104d2aa,S-task5,nodeLink,difficulty,1
5a3adffa05f005000104d2aa,S-task5,nodeLink,confidence,7
5a3adffa05f005000104d2aa,S-task5,nodeLink,minutesToComplete,0.36666666666666664
5a3adffa05f005000104d2aa,S-task6,nodeLink,nodeAnswer,
5a3adffa05f005000104d2aa,S-task6,nodeLink,valueAnswer,European
5a3adffa05f005000104d2aa,S-task6,nodeLink,accuracy,1
5a3adffa05f005000104d2aa,S-task6,nodeLink,correct,1
